FECHA,N1,N2,N3,N4,N5,N6,COMPLEMENTARIO,REINTEGRO
25/08/2021,23,27,29,36,40,49,3,9
24/08/2021,3,8,11,20,30,36,9,8
23/08/2021,5,9,11,21,37,47,40,5
21/08/2021,2,14,15,19,21,31,30,3
20/08/2021,1,24,30,39,44,45,31,8
19/08/2021,6,8,12,25,29,39,23,7
18/08/2021,23,28,40,41,43,46,14,7
17/08/2021,6,31,34,35,37,41,48,8
16/08/2021,13,19,21,29,42,46,45,9
14/08/2021,8,9,21,25,28,29,45,1
13/08/2021,1,8,9,19,25,35,47,1
12/08/2021,16,17,18,26,36,37,1,9
11/08/2021,2,7,8,24,44,45,30,2
10/08/2021,8,9,18,20,24,29,37,2
9/08/2021,16,24,31,45,47,49,36,0
7/08/2021,1,5,8,18,21,46,3,4
6/08/2021,2,16,23,26,35,38,4,3
5/08/2021,1,8,9,13,16,45,14,6
4/08/2021,25,26,30,36,42,49,48,6
3/08/2021,8,9,18,36,43,44,5,4
2/08/2021,3,4,15,18,27,49,41,9
31/07/2021,20,28,33,39,42,49,31,8
30/07/2021,1,21,22,26,36,48,6,2
29/07/2021,13,16,21,29,41,47,17,6
28/07/2021,4,13,20,23,39,45,36,8
27/07/2021,9,14,19,23,25,44,13,3
26/07/2021,2,5,10,17,19,39,14,5
24/07/2021,3,11,17,21,47,48,19,4
23/07/2021,9,25,26,28,32,44,6,1
22/07/2021,8,23,24,27,48,49,2,5
21/07/2021,9,21,27,33,39,42,31,3
20/07/2021,8,15,38,40,42,43,39,0
19/07/2021,5,11,13,21,26,33,43,7
17/07/2021,1,27,28,40,42,45,26,8
16/07/2021,7,15,26,34,38,48,4,8
15/07/2021,6,10,15,35,38,49,34,8
14/07/2021,6,13,24,40,42,48,8,1
13/07/2021,7,12,21,23,27,30,8,7
12/07/2021,17,20,32,39,41,45,3,7
10/07/2021,2,17,20,24,28,48,19,2
9/07/2021,3,8,15,38,47,49,12,2
8/07/2021,5,15,16,22,29,47,24,7
7/07/2021,16,17,26,37,46,49,35,0
6/07/2021,17,20,22,27,31,46,38,2
5/07/2021,4,12,17,33,45,46,32,0
3/07/2021,6,12,15,18,22,27,38,4
2/07/2021,4,6,9,28,39,49,25,4
1/07/2021,5,13,33,34,38,44,32,4
30/06/2021,10,15,24,30,44,46,40,3
29/06/2021,5,7,15,29,31,44,36,8
28/06/2021,4,12,24,32,35,42,30,6
26/06/2021,13,23,30,33,44,46,37,3
25/06/2021,6,21,32,33,42,44,2,1
24/06/2021,4,10,17,21,37,40,45,2
23/06/2021,10,20,24,34,39,42,48,2
22/06/2021,8,13,14,17,23,45,24,1
21/06/2021,3,16,26,29,30,45,18,0
19/06/2021,25,27,28,32,33,40,15,9
18/06/2021,1,4,36,39,43,49,15,6
17/06/2021,6,12,33,45,47,48,7,9
16/06/2021,9,16,21,33,43,44,5,4
15/06/2021,20,23,31,35,39,49,4,6
14/06/2021,25,28,31,34,35,37,5,3
12/06/2021,2,5,8,19,21,33,7,8
11/06/2021,16,17,20,28,42,45,7,5
10/06/2021,4,6,8,11,27,44,18,2
9/06/2021,18,27,33,43,44,46,22,6
8/06/2021,1,3,4,20,33,35,24,4
7/06/2021,8,16,17,21,40,41,14,2
5/06/2021,8,18,25,40,41,44,47,3
4/06/2021,12,13,21,22,32,49,10,4
3/06/2021,6,25,34,40,47,48,3,1
2/06/2021,3,22,23,32,35,46,8,4
1/06/2021,1,11,12,20,23,44,32,6
31/05/2021,2,16,33,39,42,43,9,2
29/05/2021,11,14,16,17,28,49,33,0
28/05/2021,1,4,6,14,17,28,41,4
27/05/2021,8,23,27,33,40,43,11,7
26/05/2021,6,8,36,39,42,47,18,3
25/05/2021,2,11,18,25,43,49,38,2
24/05/2021,7,25,27,38,39,46,29,5
22/05/2021,13,28,35,40,42,43,12,2
21/05/2021,11,15,18,23,34,44,45,8
20/05/2021,2,8,17,22,36,49,18,5
19/05/2021,12,13,16,26,37,38,7,9
18/05/2021,5,17,20,26,28,32,23,3
17/05/2021,3,4,6,11,12,32,28,8
15/05/2021,6,18,35,42,47,48,3,1
14/05/2021,4,9,21,22,27,34,2,8
13/05/2021,7,10,18,26,27,28,40,9
12/05/2021,5,15,21,29,45,47,43,1
11/05/2021,9,17,18,19,20,26,42,9
10/05/2021,1,12,13,23,36,38,22,1
8/05/2021,5,6,15,16,34,36,7,7
7/05/2021,8,9,32,42,43,45,16,5
6/05/2021,3,8,19,20,25,42,23,3
5/05/2021,6,24,25,27,45,48,13,4
4/05/2021,8,16,19,23,40,45,43,7
3/05/2021,9,15,18,26,42,44,29,5
1/05/2021,9,16,18,19,22,41,29,5
30/04/2021,3,9,27,30,33,41,45,1
29/04/2021,1,19,23,28,37,43,24,1
28/04/2021,5,10,21,26,28,46,34,3
27/04/2021,5,10,11,13,34,46,8,9
26/04/2021,9,10,17,24,27,43,39,8
24/04/2021,8,23,25,31,43,44,24,6
23/04/2021,12,26,32,35,42,48,44,0
22/04/2021,5,18,19,20,26,44,9,4
21/04/2021,9,38,40,43,44,45,4,3
20/04/2021,5,9,12,23,37,47,6,2
19/04/2021,1,3,5,8,21,49,33,1
17/04/2021,16,27,32,33,46,48,10,4
16/04/2021,14,19,38,39,41,49,6,1
15/04/2021,1,15,21,35,36,41,27,5
14/04/2021,19,24,37,38,40,47,25,5
13/04/2021,7,11,18,19,38,45,23,7
12/04/2021,3,7,14,20,37,46,27,9
10/04/2021,8,9,19,24,34,40,49,7
9/04/2021,3,10,16,22,24,37,14,0
8/04/2021,5,37,38,39,46,48,15,3
7/04/2021,2,11,13,14,21,36,1,7
6/04/2021,9,19,34,37,39,42,32,3
5/04/2021,4,7,12,27,30,32,28,6
3/04/2021,2,16,17,27,36,45,39,6
2/04/2021,8,13,18,24,26,28,17,2
1/04/2021,12,14,25,28,34,46,5,2
31/03/2021,8,16,17,28,33,42,45,6
30/03/2021,3,11,23,29,44,49,46,0
29/03/2021,4,13,14,27,31,33,2,0
27/03/2021,2,10,16,20,36,45,34,1
26/03/2021,1,23,39,40,42,47,34,8
25/03/2021,6,7,8,13,32,37,49,4
24/03/2021,5,6,20,30,40,44,36,1
23/03/2021,4,6,38,44,45,48,21,5
22/03/2021,1,4,11,16,40,49,14,7
20/03/2021,4,13,14,28,33,47,40,7
19/03/2021,14,18,22,23,43,48,24,0
18/03/2021,4,10,12,42,44,45,8,0
17/03/2021,2,15,22,25,34,42,41,1
16/03/2021,13,14,23,32,42,45,7,3
15/03/2021,4,6,8,9,33,46,22,9
13/03/2021,1,2,8,9,27,41,45,2
12/03/2021,1,12,15,32,37,45,18,1
11/03/2021,3,4,8,24,34,49,10,6
10/03/2021,27,33,34,35,41,44,32,4
9/03/2021,5,6,19,23,26,40,43,9
8/03/2021,10,11,24,39,40,48,17,3
6/03/2021,3,25,26,34,40,44,13,4
5/03/2021,13,15,22,28,41,46,30,9
4/03/2021,12,22,24,27,41,46,9,4
3/03/2021,5,6,7,12,13,23,42,3
2/03/2021,3,15,16,27,28,39,33,2
1/03/2021,4,12,15,42,45,48,41,3
27/02/2021,8,9,12,39,42,45,34,3
26/02/2021,7,26,27,32,33,40,44,6
25/02/2021,3,12,26,37,43,45,32,2
24/02/2021,2,13,25,29,33,39,32,4
23/02/2021,6,19,32,38,44,47,4,5
22/02/2021,13,26,36,37,43,45,24,6
20/02/2021,4,23,24,27,34,36,25,6
